S. No. , File Name , Program , Synthesis Time(micro-sec)
1,arraysearch16.sl,Timeout,144737
2,arraysearch17.sl,Timeout,148589
3,arraysearch18.sl,Timeout,149046
4,arraysearch19.sl,Timeout,146579
5,arraysearch20.sl,Timeout,146158
6,diff.sl,Timeout,145187
7,jmbl_fg_VC22_a.sl,Timeout,148438
8,jmbl_fg_VC22_b.sl,Timeout,151216
9,jmbl_fg_array_search_10.sl,Timeout,147829
10,jmbl_fg_array_search_11.sl,Timeout,146519
11,jmbl_fg_array_search_12.sl,Timeout,145575
12,jmbl_fg_array_search_13.sl,Timeout,147370
13,jmbl_fg_array_search_14.sl,Timeout,150289
14,jmbl_fg_array_search_15.sl,Timeout,147281
15,jmbl_fg_array_search_2.sl,(define-fun findIdx ((y1 Int) (y2 Int) (k1 Int)) Int (let ((_let_0 (* (- 1) k1))) (let ((_let_1 (+ y1 _let_0))) (let ((_let_2 (not (>= _let_1 1)))) (let ((_let_3 (+ y2 _let_0))) (let ((_let_4 (>= _let_3 0))) (let ((_let_5 (>= _let_1 0))) (let ((_let_6 (>= _let_3 1))) (ite (and (not (>= (+ y1 (* (- 1) y2)) 0)) (or (>= _let_1 1) (and _let_6 (not _let_5)) (not _let_4))) (ite (and _let_2 _let_4) 1 (ite (and _let_2 (or _let_5 (not _let_6))) 2 0)) (- 1)))))))))),125697
16,jmbl_fg_array_search_3.sl,(define-fun findIdx ((y1 Int) (y2 Int) (y3 Int) (k1 Int)) Int (let ((_let_0 (* (- 1) k1))) (let ((_let_1 (+ y1 _let_0))) (let ((_let_2 (not (>= _let_1 1)))) (let ((_let_3 (+ y3 _let_0))) (let ((_let_4 (>= _let_3 0))) (let ((_let_5 (>= _let_1 0))) (let ((_let_6 (+ y2 _let_0))) (let ((_let_7 (not (>= _let_6 1)))) (let ((_let_8 (>= _let_6 0))) (let ((_let_9 (not (>= _let_3 1)))) (let ((_let_10 (or _let_5 _let_7))) (let ((_let_11 (or _let_8 _let_9))) (ite (and (not (>= (+ y1 (* (- 1) y2)) 0)) (not (>= (+ y2 (* (- 1) y3)) 0)) (or (>= _let_1 1) (not _let_4) (and (>= _let_6 1) (not _let_5)) (and (>= _let_3 1) (not _let_8)))) (ite (and _let_2 _let_4 _let_10) 2 (ite (and _let_2 _let_4 _let_11) 1 (ite (and _let_4 _let_10 _let_11) 0 3))) (- 1))))))))))))))),135823
