S No., Constraints, Programs, Extracted Programs, Exec. Time
1,( or ( = ( f x y ) ( f x y ) ) ( < ( f x y ) y ) ),Timeout,Timeout,10541645
2,( or ( <= x ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),Timeout,Timeout,2192143
3,( and ( <= ( f x y ) ( - ( - ( f x y ) x ) ( f x y ) ) ) ( <= ( - y ( f x y ) ) ( f x y ) ) ),unknown,unknown,2745357
4,( and ( >= ( f x y ) y ) ( <= ( f x y ) ( - y ( f x y ) ) ) ),unknown,unknown,1396864
5,( and ( = ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( > ( + ( + ( f x y ) x ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1366401
6,( or ( > ( - y ( f x y ) ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),2223072
7,( and ( < ( f x y ) ( + ( - ( + ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ) ( <= x ( f x y ) ) ),unknown,unknown,1641738
8,( or ( >= ( f x y ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1391947
9,( or ( > y ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1332218
10,( and ( = x ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,unknown,2240937
11,( and ( <= ( f x y ) ( - ( f x y ) ( - ( f x y ) ( + x ( f x y ) ) ) ) ) ( > x ( f x y ) ) ),Timeout,Timeout,1508049
12,( or ( >= ( f x y ) x ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1200244
13,( and ( < ( f x y ) ( f x y ) ) ( <= ( + ( f x y ) x ) ( f x y ) ) ),unknown,unknown,1202532
14,( or ( > ( + ( f x y ) x ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1692397
15,( and ( = x ( f x y ) ) ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,1660283
16,( and ( >= y ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1155496
17,( and ( = ( f x y ) ( - ( f x y ) x ) ) ( = ( + ( f x y ) x ) ( f x y ) ) ),unknown,unknown,1141316
18,( or ( = ( f x y ) x ) ( > ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1143551
19,( or ( <= ( f x y ) ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1835817
20,( and ( <= y ( f x y ) ) ( < ( f x y ) ( + ( - ( - ( - ( f x y ) ( + ( f x y ) ( - ( f x y ) ( - ( f x y ) ( f x y ) ) ) ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ),unknown,unknown,1647772
21,( and ( >= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1182026
