S No., Constraints, Programs, Exec. Time
1,(or (>= x y) (<= y y)),Timeout,126619
2,(or (= x x) (= x x)),Timeout,118409
3,(and (= (+ (+ (f y x) (f y x)) (+ (f y x) (f y x))) x) (= (f y x) x)),unknown,51354
4,(and (< y x) (< y x)),unknown,41754
5,(or (> (f y y) (+ y (f y y))) (<= (+ (+ y (f y y)) (+ y (f y y))) (+ y (f y y)))),(define-fun f ((x Int) (y Int)) Int (* (- 1) x)),43444
6,(or (> y (- x (f x y))) (> y (- x (f x y)))),(define-fun f ((x Int) (y Int)) Int (+ 1 x (* (- 1) y))),43382
7,(and (> y (- y y)) (<= x (- y y))),unknown,42291
8,(and (<= x y) (>= (f y y) (- (- y y) (f y y)))),unknown,45069
9,(or (<= (- (f x x) y) (- (f x x) y)) (<= (- (f x x) y) (- (f x x) y))),(define-fun f ((x Int) (y Int)) Int 0),45802
10,(or (<= y y) (<= y y)),(define-fun f ((x Int) (y Int)) Int 0),45306
11,(or (>= (- x y) (- x x)) (= (- x y) x)),unknown,47949
12,(and (= (f y y) (+ y x)) (<= y x)),unknown,46000
13,(or (= x x) (<= x (+ (+ x (f x x)) x))),(define-fun f ((x Int) (y Int)) Int 0),44099
14,(and (< y y) (< y y)),unknown,41507
15,(and (> (f y y) (+ (f y y) y)) (> (f y y) (+ (f y y) y))),unknown,42200
16,(or (<= (+ (- (f x y) y) (- (f x y) y)) (- (f x y) y)) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),42531
17,(or (> y (+ x (f y y))) (<= (+ x (f y y)) (f y y))),unknown,42784
18,(and (= (- (f y x) (f y x)) y) (< (f y x) x)),unknown,44410
19,(or (<= x (- x (f x x))) (= (f x x) (- x x))),(define-fun f ((x Int) (y Int)) Int (- 1)),44566
20,(and (<= x x) (= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),40499
21,(or (>= (f x y) x) (<= y (+ (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int x),44023
22,(or (> (- x (- x x)) y) (< y (f x x))),unknown,42616
23,(and (<= y (- y x)) (<= y (- y x))),unknown,43261
24,(and (= (- (f y x) (f y x)) y) (= (- (f y x) (f y x)) y)),unknown,45273
25,(and (< y y) (<= (+ x (f x y)) (+ x (f x y)))),unknown,43011
26,(and (<= x y) (<= x y)),unknown,40985
27,(or (< (- x (f y x)) (- x (f y x))) (< (- x (f y x)) (- x (f y x)))),unknown,43022
28,(and (>= (f y x) y) (> (+ (f y x) (f y x)) (- (+ (f y x) (f y x)) (f y x)))),(define-fun f ((x Int) (y Int)) Int (ite (>= x 2) x 1)),43223
29,(and (> y (f x x)) (> (+ y x) y)),unknown,40939
30,(or (>= (+ (f y y) (f y y)) (f y y)) (>= (+ (f y y) (f y y)) (f y y))),(define-fun f ((x Int) (y Int)) Int 0),43841
31,(and (>= (f y x) x) (= (+ x (- x y)) (+ x (- x y)))),(define-fun f ((x Int) (y Int)) Int y),46457
32,(and (< (f x x) x) (< (f x x) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),43251
33,(and (> (f x y) (f x y)) (< y (f x y))),unknown,41114
34,(and (> y y) (>= (+ x x) y)),unknown,40753
35,(and (> y (f x x)) (> (f x x) (- (f x x) (f x x)))),unknown,44121
36,(or (>= y y) (>= y y)),(define-fun f ((x Int) (y Int)) Int 0),40114
37,(and (<= (f y x) x) (>= (- y x) (f y x))),(define-fun f ((x Int) (y Int)) Int (ite (>= (+ x (* (- 2) y)) 1) y (+ x (* (- 1) y)))),44303
38,(and (< x (+ (f x y) y)) (< x (+ (f x y) y))),(define-fun f ((x Int) (y Int)) Int (+ 1 x (* (- 1) y))),43032
39,(and (>= (+ y y) x) (>= (+ y y) x)),unknown,43814
40,(or (= (f y x) x) (<= (- x y) (- x y))),(define-fun f ((x Int) (y Int)) Int 0),41223
41,(or (>= x (f x y)) (> x y)),(define-fun f ((x Int) (y Int)) Int x),43593
42,(and (= (- y x) (+ x x)) (= (- y x) (+ x x))),unknown,44351
43,(or (= (f x x) (f x x)) (= (f x x) (f x x))),(define-fun f ((x Int) (y Int)) Int 0),46136
44,(or (>= (+ x (f y y)) (f y y)) (>= (+ x (f y y)) (f y y))),unknown,43240
45,(and (> (- y y) y) (> (f y y) y)),unknown,46232
46,(or (< x x) (>= (f y y) x)),unknown,41236
47,(or (<= y (- x (f y y))) (<= y (- x (f y y)))),unknown,40178
48,(and (< y x) (> y x)),unknown,42024
49,(and (<= (- (+ y (f y x)) (f y x)) (f y x)) (>= x x)),(define-fun f ((x Int) (y Int)) Int x),42229
50,(and (<= y y) (<= y y)),(define-fun f ((x Int) (y Int)) Int 0),40673
51,(and (> x y) (> x y)),unknown,42222
52,(or (< x y) (< x y)),unknown,40496
53,(and (< (f x x) (f x x)) (< (f x x) (f x x))),unknown,41499
54,(and (< x (- x x)) (< x (f x y))),unknown,44376
55,(or (< y x) (< y x)),unknown,47525
56,(or (> y x) (> y x)),unknown,46282
57,(or (= x y) (>= x (+ (f x x) (+ (f x x) y)))),Timeout,119331
58,(and (< y y) (<= (+ x x) (+ x x))),unknown,43204
59,(and (>= (- y y) (f x x)) (>= (- y y) (f x x))),(define-fun f ((x Int) (y Int)) Int 0),45399
60,(or (> x (+ (f x x) y)) (>= (+ (f x x) y) (+ (f x x) y))),(define-fun f ((x Int) (y Int)) Int 0),44120
61,(or (> x x) (> x x)),unknown,44877
62,(or (> x (- (f y y) x)) (> x (- (f y y) x))),Timeout,121287
63,(and (> x x) (> x x)),unknown,44191
64,(or (< x x) (>= (+ (- y x) x) x)),unknown,52690
65,(and (= x (- y (f x x))) (> (+ (- y (f x x)) (f x x)) y)),unknown,61522
66,(and (<= (f x y) (f x y)) (<= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),41807
