S No., Constraints, Programs, Exec. Time
1,(and (>= y (f x y)) (>= y (f x y))),Timeout,126073
2,(and (= x (+ x x)) (= x (+ x x))),Timeout,123981
3,(or (> x (f y x)) (>= (- y x) (- y x))),(define-fun f ((x Int) (y Int)) Int 0),69465
4,(or (= (+ x y) (f x y)) (= (+ x y) (f x y))),(define-fun f ((x Int) (y Int)) Int (+ x y)),53667
5,(and (>= y (+ (f x y) (f x y))) (>= y (+ (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int (div y 2)),50946
6,(and (> (f x y) x) (> y (- y (f x y)))),(define-fun f ((x Int) (y Int)) Int (ite (>= x 1) (+ 1 x) 1)),52480
7,(or (>= (f x y) x) (= (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int x),52994
8,(or (<= (f x y) y) (<= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),48396
9,(or (> (+ (f y x) (f x y)) (f x y)) (>= x (f y x))),(define-fun f ((x Int) (y Int)) Int 1),48651
10,(or (= x x) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),46673
11,(and (>= (+ x y) x) (>= (+ x y) x)),unknown,47839
12,(and (< (+ (f y x) y) (f x y)) (< (+ (f y x) y) (f x y))),unknown,56375
13,(and (>= (+ y (f y x)) (f x y)) (< (f y x) (f y x))),unknown,51707
14,(or (>= y x) (>= (f x y) (f y x))),(define-fun f ((x Int) (y Int)) Int x),49741
15,(and (< (f y x) (f x y)) (< (+ y (f y x)) (+ y (f y x)))),unknown,48487
16,(and (>= (f y x) x) (<= x (f y x))),(define-fun f ((x Int) (y Int)) Int y),49969
17,(or (= (f y x) y) (= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),49971
18,(and (= (f y x) (f y x)) (< y x)),unknown,51731
19,(or (>= y y) (< (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),48749
20,(and (> x (f y x)) (> y (+ x (f x y)))),(define-fun f ((x Int) (y Int)) Int (ite (>= x 0) (+ (- 1) (* (- 1) x) y) (+ (- 1) y))),49222
21,(or (> (- (f y x) (f y x)) x) (> (- (f y x) (f y x)) x)),unknown,48209
22,(or (>= y x) (>= y x)),unknown,52502
23,(or (< (f y x) y) (< (f y x) y)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),54700
24,(and (<= (f y x) (f x y)) (<= (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),67624
25,(or (< (f x y) (+ y (f x y))) (< (f x y) (+ y (f x y)))),unknown,47602
