S No., Constraints, Programs, Exec. Time
1,(or (<= (f y x) x) (<= (f y x) x)),Timeout,127373
2,(or (>= y (+ y (f y x))) (>= y (+ y (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),103985
3,(or (> x (+ (f y x) (f y x))) (= (f x y) (f y x))),(define-fun f ((x Int) (y Int)) Int 1),60601
4,(or (<= (f y x) (f x y)) (> (- (f x y) (f y x)) (+ (f y x) (f x y)))),(define-fun f ((x Int) (y Int)) Int 1),56781
5,(and (<= y (f y x)) (<= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),47772
6,(or (> y (- y (f x y))) (> y (- y (f x y)))),(define-fun f ((x Int) (y Int)) Int 1),45675
7,(or (> (f y x) (- y (f y x))) (> (f y x) (- y (f y x)))),(define-fun f ((x Int) (y Int)) Int (let ((_let_0 (+ 1 x))) (let ((_let_1 (div _let_0 2))) (ite (>= (+ x (* (- 2) _let_1)) 0) (div (+ 2 x) 2) _let_1)))),50410
8,(or (= x (f x y)) (< (f y x) (- (f x y) x))),(define-fun f ((x Int) (y Int)) Int x),56530
9,(and (< y y) (= (f x y) (+ x x))),unknown,47903
10,(or (>= (f y x) (f x y)) (>= (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),59355
11,(and (< (f x y) x) (< (f x y) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),51886
12,(or (= (f y x) (+ (- y x) (f y x))) (<= (f y x) (- y x))),(define-fun f ((x Int) (y Int)) Int (+ x (* (- 1) y))),49497
13,(or (> (- (- y x) (- y x)) x) (= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),50513
14,(and (>= (+ (f y x) (f y x)) (+ (f y x) (f y x))) (<= (- (f x y) y) y)),(define-fun f ((x Int) (y Int)) Int (* 2 y)),51688
15,(and (> (f x y) (- (f y x) (f x y))) (> (f x y) (- (f y x) (f x y)))),(define-fun f ((x Int) (y Int)) Int 1),54934
16,(or (<= (f y x) (f x y)) (<= (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),56612
17,(or (>= (f y x) (+ y (f x y))) (>= (f y x) (+ y (f x y)))),unknown,67076
18,(and (= x (f y x)) (<= y y)),(define-fun f ((x Int) (y Int)) Int y),46995
19,(or (>= (+ x (f x y)) x) (>= (+ x (f x y)) x)),(define-fun f ((x Int) (y Int)) Int 0),45540
20,(or (> (- (f x y) (f x y)) (f x y)) (= y (- (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int (- 1)),50326
21,(and (< x (f y x)) (>= y x)),unknown,48472
22,(or (>= (f y x) y) (>= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),55819
23,(and (>= (f x y) (+ x x)) (>= (f x y) (+ x x))),(define-fun f ((x Int) (y Int)) Int (* 2 x)),65917
24,(and (>= (f y x) (- y (f x y))) (>= (f y x) (- y (f x y)))),Timeout,130376
25,(and (< (f y x) (- (f y x) x)) (>= (f x y) (f y x))),unknown,59802
26,(or (> (f y x) (+ x y)) (> (f y x) (+ x y))),(define-fun f ((x Int) (y Int)) Int (+ 1 x y)),57371
27,(and (<= x (- y y)) (<= (f x y) (- y y))),unknown,56137
28,(or (<= (- y (f y x)) (- y (f y x))) (<= (f x y) x)),(define-fun f ((x Int) (y Int)) Int 0),52005
29,(and (> (f y x) (f x y)) (> (+ y (f y x)) x)),unknown,116001
30,(and (<= y y) (> (f x y) (f y x))),unknown,52949
31,(and (< (f x y) x) (< (f x y) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),48835
32,(or (< (- (f x y) (+ (f x y) (f x y))) x) (>= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),55226
33,(and (>= (- (f y x) x) (f y x)) (= (f x y) (f x y))),unknown,52140
34,(or (= x (f x y)) (= x (f x y))),(define-fun f ((x Int) (y Int)) Int x),41302
35,(and (>= (f y x) (- y (f x y))) (= (- y (f x y)) (f y x))),unknown,56308
36,(and (>= (- (f x y) y) (- (f x y) (f y x))) (>= (- (f x y) y) (- (f x y) (f y x)))),(define-fun f ((x Int) (y Int)) Int x),55420
37,(or (<= (f x y) (f x y)) (> (f x y) x)),(define-fun f ((x Int) (y Int)) Int 0),52475
38,(or (< (f y x) x) (= (f x y) (- y (f x y)))),(define-fun f ((x Int) (y Int)) Int (- y 1)),89025
39,(or (>= (f x y) y) (< x x)),(define-fun f ((x Int) (y Int)) Int y),49893
40,(or (= (f x y) (- y x)) (= (f x y) (- y x))),(define-fun f ((x Int) (y Int)) Int (+ (* (- 1) x) y)),45347
41,(and (<= x (f x y)) (<= x (f x y))),(define-fun f ((x Int) (y Int)) Int x),43858
42,(and (< (f y x) (+ y x)) (> (f y x) x)),unknown,48079
43,(or (< (f x y) (f x y)) (= (- x (f x y)) (f x y))),unknown,49473
44,(and (>= (- y y) (f y x)) (>= (- y y) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),44467
45,(or (< (+ (f x y) (f x y)) (+ (+ (f x y) (f x y)) (+ (f x y) (f x y)))) (= (+ (f x y) (f x y)) (+ (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int 0),46784
46,(and (= x (f x y)) (>= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),48001
