S No., Constraints, Programs, Exec. Time
1,( or ( <= ( f x y ) y ) ( > ( f x y ) ( f x y ) ) ),Timeout,5297375
2,( and ( >= ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( > ( f x y ) y ) ),Timeout,3213273
3,( or ( > ( - ( + y ( f x y ) ) ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),Timeout,4235996
4,( and ( < ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ( > ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int (ite (>= x 1) (+ 1 x) 1)),3338167
5,( and ( < ( f x y ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,3104761
6,( or ( > ( f x y ) ( + y ( f x y ) ) ) ( < ( + ( f x y ) ( - x ( f x y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),3791725
7,( and ( > ( + ( f x y ) ( - ( f x y ) y ) ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),3061956
8,( or ( < ( f x y ) ( - ( f x y ) ( - ( f x y ) ( f x y ) ) ) ) ( > ( f x y ) ( + ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int (- 1)),4266288
9,( or ( <= y ( f x y ) ) ( >= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),3593993
10,( or ( > ( + ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ( < y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),3570262
11,( or ( < ( f x y ) x ) ( <= ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),3832619
12,( and ( >= y ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,2823943
13,( or ( > x ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),4566507
14,( or ( > ( f x y ) ( + ( - ( - ( - x ( f x y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ( > ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),3265235
15,( or ( = ( f x y ) ( + ( f x y ) ( + ( f x y ) ( + ( f x y ) ( - ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ) ) ) ( >= ( + ( f x y ) x ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int 0),3555269
16,( and ( = ( f x y ) y ) ( <= ( f x y ) x ) ),unknown,3901782
17,( or ( <= y ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),2843541
18,( and ( >= ( f x y ) ( f x y ) ) ( > ( + ( f x y ) ( + ( f x y ) ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ) ) ( f x y ) ) ,(define-fun f ((x Int) (y Int)) Int 1),4180166
19,( or ( >= ( f x y ) ( - x ( f x y ) ) ) ( = ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int 0),3245095
20,( or ( <= ( f x y ) y ) ( = ( + ( f x y ) ( + x ( f x y ) ) ) ( f x y ) ) ),Timeout,2764166
21,( and ( <= ( f x y ) y ) ( <= ( f x y ) ( + ( f x y ) x ) ) ),unknown,1543202
22,( and ( >= y ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),1181753
23,( or ( > y ( f x y ) ) ( >= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int 0),1201265
24,( and ( = ( f x y ) ( + ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ( > ( f x y ) ( + ( - x ( f x y ) ) ( f x y ) ) ) ),unknown,1309327
25,( and ( = ( f x y ) ( - y ( f x y ) ) ) ( <= x ( f x y ) ) ),unknown,1753215
26,( and ( = x ( f x y ) ) ( <= ( + ( f x y ) ( - ( f x y ) ( - ( f x y ) ( f x y ) ) ) ) ( f x y ) ) ),unknown,1296943
27,( and ( = ( f x y ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,1203664
28,( and ( > ( f x y ) ( - ( + ( f x y ) ( - ( f x y ) ( + ( - ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ) ( f x y ) ) ) ( < y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (ite (>= y 1) (+ 1 y) 1)),1161099
29,( and ( <= ( f x y ) ( f x y ) ) ( > ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),1342537
30,( or ( < y ( f x y ) ) ( > ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),1792114
31,( or ( < x ( f x y ) ) ( <= ( f x y ) ( + ( - ( + x ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),1261741
32,( or ( > x ( f x y ) ) ( > ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),1152520
33,( or ( > ( f x y ) ( f x y ) ) ( >= ( + ( f x y ) ( - ( f x y ) x ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),1086185
34,( and ( > x ( f x y ) ) ( = ( f x y ) y ) ),unknown,1214663
35,( or ( <= ( - ( f x y ) ( - ( + x ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ( = ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int 0),1797151
36,( or ( <= ( + y ( f x y ) ) ( f x y ) ) ( <= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),1241438
37,( and ( <= ( f x y ) x ) ( >= ( f x y ) ( - ( f x y ) ( - ( f x y ) ( - ( f x y ) ( - ( f x y ) y ) ) ) ) ) ),unknown,1166144
38,( or ( > ( f x y ) ( - ( f x y ) x ) ) ( = ( - x ( f x y ) ) ( f x y ) ) ),unknown,1126674
39,( or ( = ( f x y ) ( - ( f x y ) ( + ( f x y ) y ) ) ) ( < ( - ( f x y ) y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (* (- 1) y)),1179304
40,( or ( <= y ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),1755758
41,( or ( = ( f x y ) y ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),1232763
42,( or ( < ( + ( + ( + ( f x y ) ( + ( + ( + ( f x y ) ( + ( f x y ) x ) ) ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( > x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (div (+ (- 1) (* (- 1) x)) 6)),1082000
43,( and ( <= ( f x y ) x ) ( < ( f x y ) ( f x y ) ) ),unknown,1101049
44,( and ( = ( f x y ) ( - ( f x y ) y ) ) ( = x ( f x y ) ) ),unknown,1128932
45,( and ( < ( f x y ) x ) ( > ( f x y ) y ) ),unknown,1803384
46,( or ( <= ( f x y ) x ) ( < ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int x),1242827
47,( or ( = ( f x y ) y ) ( >= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),1092050
48,( and ( <= x ( f x y ) ) ( < ( + ( f x y ) y ) ( f x y ) ) ),unknown,1094091
49,( or ( >= ( + x ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,1113609
50,( or ( = ( f x y ) ( f x y ) ) ( < ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int 0),1805974
51,( or ( >= ( f x y ) x ) ( <= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int x),1399847
52,( and ( <= ( - ( + ( f x y ) ( + ( f x y ) ( - ( - ( f x y ) ( f x y ) ) ( f x y ) ) ) ) ( f x y ) ) ( f x y ) ) ( > y ( f x y ) ) ),unknown,1109831
53,( or ( = ( f x y ) ( f x y ) ) ( > ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int 0),1092472
54,( and ( >= ( f x y ) y ) ( < ( f x y ) x ) ),unknown,1094053
55,( or ( >= ( + ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ( >= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),1902103
56,( and ( = y ( f x y ) ) ( < ( f x y ) ( + ( - ( f x y ) ( + ( f x y ) ( - ( f x y ) y ) ) ) ( f x y ) ) ) ),unknown,1514991
57,( or ( = x ( f x y ) ) ( = ( - ( + ( f x y ) y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),1174637
58,( and ( < x ( f x y ) ) ( > ( f x y ) ( + y ( f x y ) ) ) ),unknown,1186720
59,( or ( >= y ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int 0),1128089
60,( and ( >= ( - ( f x y ) y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),unknown,1146168
61,( or ( < y ( f x y ) ) ( < y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),1204858
62,( or ( = ( f x y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int 0),1110116
63,( and ( >= x ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),1110933
64,( or ( = ( f x y ) y ) ( > ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),1117462
65,( and ( = ( f x y ) ( + x ( f x y ) ) ) ( >= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,1120359
66,( or ( < ( f x y ) ( + ( + ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int 0),1111426
67,( or ( < ( f x y ) x ) ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),1118031
68,( or ( <= ( f x y ) ( - ( + ( f x y ) y ) ( f x y ) ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int 0),1110962
69,( and ( = ( f x y ) y ) ( = ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),1132044
70,( and ( <= ( f x y ) ( + y ( f x y ) ) ) ( = ( f x y ) ( f x y ) ) ),unknown,1122012
