S No., Constraints, Programs, Exec. Time
51714,(or (<= (+ y x) (f y x)) (<= (f x y) (f y x))),Timeout,204891
51715,(and (< (- y (f x y)) (- y (f x y))) (< (- y (f x y)) (- y (f x y)))),Timeout,171025
51716,(or (> (f x y) x) (> (f x y) x)),Timeout,152620
51717,(and (<= (f y x) (f x y)) (<= (f y x) (f x y))),Timeout,155904
51718,(or (> (- x y) (- x y)) (< (- x y) (f x y))),(define-fun f ((x Int) (y Int)) Int (+ 1 x (* (- 1) y))),150508
51719,(and (<= (+ y (f x y)) (f y x)) (<= x y)),Timeout,171988
51720,(or (< x (f y x)) (< x (f y x))),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),130926
51721,(and (= x (f y x)) (<= (f y x) y)),unknown,119538
51722,(or (<= y y) (<= (+ (f x y) y) y)),(define-fun f ((x Int) (y Int)) Int 0),89525
51723,(and (< (f x y) (f x y)) (< (f x y) (f x y))),unknown,87337
51724,(or (>= y (f y x)) (>= (f y x) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),85893
51725,(and (> (f y x) y) (>= (+ (f x y) (f y x)) y)),Timeout,141580
51726,(or (> x (- (f y x) x)) (> x (- (f y x) x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* 2 y))),137310
51727,(and (>= y y) (< y y)),unknown,126020
51728,(and (<= (+ x (f y x)) (f x y)) (<= (+ x (f y x)) (f x y))),Timeout,154063
51729,(and (> (f x y) (f x y)) (> (f x y) (f x y))),unknown,119719
51730,(or (<= (- (f x y) (f y x)) (f y x)) (> (- (f x y) (f y x)) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),146106
51731,(and (>= (f x y) (+ y x)) (> x y)),unknown,131180
51732,(and (<= x x) (<= x x)),(define-fun f ((x Int) (y Int)) Int 0),136780
51733,(or (= (f y x) y) (>= (- y (f x y)) (f x y))),(define-fun f ((x Int) (y Int)) Int x),89439
51734,(or (>= (- (f y x) x) (f x y)) (= (f x y) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),132318
51735,(and (<= y (f x y)) (<= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),134191
51736,(and (>= (f y x) (- y (f x y))) (>= (f y x) (- y (f x y)))),Timeout,158486
51737,(and (<= (f x y) x) (<= (f x y) x)),(define-fun f ((x Int) (y Int)) Int x),134852
51738,(and (> (f y x) (+ (f y x) (f y x))) (> (f y x) (+ (f y x) (f y x)))),(define-fun f ((x Int) (y Int)) Int (- 1)),135456
51739,(and (>= y x) (<= (f y x) (f x y))),unknown,119000
51740,(and (> (f y x) (- y (f y x))) (> (f x y) (f y x))),unknown,86970
51741,(and (<= x x) (> (f y x) (- (f y x) y))),unknown,81743
51742,(and (> y (- (f x y) (f x y))) (< y (f y x))),unknown,77971
51743,(or (<= (f y x) (+ (+ (f y x) x) (f y x))) (< (+ (f y x) x) (f x y))),(define-fun f ((x Int) (y Int)) Int 1),98709
51744,(or (<= (- x (+ (f y x) y)) (+ (f y x) y)) (> (f x y) (+ (f y x) y))),Timeout,132143
51745,(and (>= (- y (+ (f y x) y)) (f y x)) (<= (f x y) (+ (f y x) y))),Timeout,131796
51746,(and (< (- y x) (- y x)) (>= (f x y) (f x y))),unknown,108215
51747,(or (> (f x y) (+ (f y x) y)) (> (f x y) (+ (f y x) y))),unknown,107386
51748,(and (> (f x y) (f x y)) (> (f x y) (f x y))),unknown,73399
51749,(and (<= (+ (f y x) y) (- x x)) (> (f y x) x)),unknown,80540
51750,(and (>= x (f y x)) (= x x)),(define-fun f ((x Int) (y Int)) Int y),80425
51751,(or (<= (- x y) (- x y)) (> (f y x) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),76241
51752,(or (= (f y x) (+ (f y x) (f y x))) (= (f y x) (+ (f y x) (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),80649
51753,(and (> (f x y) (f y x)) (> (f x y) (f y x))),unknown,83768
51754,(or (<= (- (+ y (f x y)) (f y x)) y) (<= (- (+ y (f x y)) (f y x)) y)),(define-fun f ((x Int) (y Int)) Int 1),109345
51755,(and (<= (+ (f x y) x) (f x y)) (<= (+ (f x y) x) (f x y))),unknown,126853
