S No., Constraints, Programs, Exec. Time
1,(and (<= y (- (f x y) y)) (= (f x y) (+ (f x y) y))),unknown,132590
2,(and (> y (f x y)) (> y (f x y))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) y)),120269
3,(or (>= (+ x (f y x)) (+ x (f y x))) (>= (+ x (f y x)) (+ x (f y x)))),(define-fun f ((x Int) (y Int)) Int 0),123133
4,(or (<= (- y y) (f x y)) (= y x)),(define-fun f ((x Int) (y Int)) Int 0),125094
5,(or (= x (f y x)) (= x (f y x))),(define-fun f ((x Int) (y Int)) Int y),130841
6,(or (< (- x (f x y)) x) (< (f x y) x)),(define-fun f ((x Int) (y Int)) Int 1),137342
7,(and (> x (f x y)) (> x (f x y))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),180695
8,(or (> (f y x) (+ x (f y x))) (> (f y x) (+ x (f y x)))),unknown,147351
9,(or (>= (- y y) (f y x)) (> (f y x) (f x y))),Timeout,174466
10,(or (<= (f y x) (- (f y x) x)) (<= (f y x) (- (f y x) x))),unknown,156172
11,(or (< (f y x) (f y x)) (>= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),163959
12,(and (>= (+ (f x y) (f y x)) y) (>= (+ (f x y) (f y x)) y)),Timeout,163935
13,(and (= y (+ (f x y) (f x y))) (= y (+ (f x y) (f x y)))),unknown,131701
14,(or (> (f x y) y) (> (- x y) (f x y))),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),126267
15,(and (>= (- x x) (f x y)) (< x (f x y))),unknown,132510
16,(or (> (f x y) y) (> (f x y) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),116290
17,(and (<= (+ (f x y) (f x y)) x) (= y (f y x))),unknown,127945
18,(or (= (f y x) y) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),118594
19,(and (> x (- (f x y) (f x y))) (< (- (f x y) (f x y)) (f x y))),unknown,125741
20,(or (<= (f x y) (+ x (f y x))) (>= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),122685
21,(or (> (+ (f y x) (+ y x)) y) (<= (f x y) (f y x))),Timeout,158856
22,(or (>= (+ x x) (f y x)) (= (+ (f x y) y) (f x y))),(define-fun f ((x Int) (y Int)) Int (* 2 y)),127966
23,(and (<= x y) (> y (+ (f x y) (f y x)))),Timeout,153876
24,(or (>= (f y x) y) (>= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),129712
25,(and (< (f y x) y) (< (f y x) y)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),128717
26,(and (> (+ x (f y x)) (f y x)) (>= (f x y) (+ x (f y x)))),unknown,138691
27,(and (>= (f y x) (+ x x)) (< (f y x) (- x (f x y)))),unknown,131327
29,(or (>= (f x y) (f y x)) (>= (f x y) (f y x))),(define-fun f ((x Int) (y Int)) Int 1),150817
30,(and (< (f x y) (f x y)) (< (f x y) (f x y))),unknown,110770
31,(and (< y (- (f x y) x)) (< x x)),unknown,124317
